horodateur,age,sexe,temps_reseaux,temps_streaming,temps_jeux,plateforme_preferee,appareils_utilises,temps_reseaux_mns,temps_streaming_mns,temps_jeux_mns
2025-03-27 14:50:34,18 - 25 ans,Femme,2 heures - 4 heures,4 heures - 8 heures,moins de 15 minutes,Netflix ,Smartphone,180.0,360.0,7.5
2025-03-27 15:34:00,18 - 25 ans,Femme,plus de 8 heures,moins de 15 minutes,moins de 15 minutes,TikTok,Smartphone,600.0,7.5,7.5
2025-03-27 16:12:46,18 - 25 ans,Femme,2 heures - 4 heures,2 heures - 4 heures,moins de 15 minutes,WhatsApp,Smartphone,180.0,180.0,7.5
2025-03-27 16:30:05,18 - 25 ans,Femme,plus de 8 heures,2 heures - 4 heures,moins de 15 minutes,WhatsApp,Smartphone,600.0,180.0,7.5
2025-03-27 16:32:08,18 - 25 ans,Homme,2 heures - 4 heures,moins de 15 minutes,moins de 15 minutes,LinkedIn,"Smartphone, Ordinateur",180.0,7.5,7.5
2025-03-27 16:36:00,18 - 25 ans,Je ne souhaite pas le préciser,4 heures - 8 heures,15 minutes - 45 minutes,45 minutes - 2 heures,Instagram,Smartphone,360.0,30.0,82.5
2025-03-27 16:42:02,18 - 25 ans,Homme,15 minutes - 45 minutes,45 minutes - 2 heures,4 heures - 8 heures,Instagram,"Ordinateur, Casque virtuelle",30.0,82.5,360.0
2025-03-27 16:43:47,30 - 40 ans,Femme,15 minutes - 45 minutes,45 minutes - 2 heures,moins de 15 minutes,YouTube,"Smartphone, Ordinateur",30.0,82.5,7.5
2025-03-27 16:48:38,18 - 25 ans,Homme,15 minutes - 45 minutes,15 minutes - 45 minutes,moins de 15 minutes,Instagram,Smartphone,30.0,30.0,7.5
2025-03-27 16:53:40,30 - 40 ans,Femme,45 minutes - 2 heures,4 heures - 8 heures,15 minutes - 45 minutes,Snapchat,"Smartphone, Tablette",82.5,360.0,30.0
2025-03-27 16:55:12,18 - 25 ans,Homme,2 heures - 4 heures,15 minutes - 45 minutes,4 heures - 8 heures,YouTube,Ordinateur,180.0,30.0,360.0
2025-03-27 16:57:48,18 - 25 ans,Homme,45 minutes - 2 heures,15 minutes - 45 minutes,15 minutes - 45 minutes,TikTok,Smartphone,82.5,30.0,30.0
2025-03-27 17:02:43,25 - 30 ans,Homme,2 heures - 4 heures,45 minutes - 2 heures,15 minutes - 45 minutes,Facebook,Smartphone,180.0,82.5,30.0
2025-03-27 17:28:18,18 - 25 ans,Homme,45 minutes - 2 heures,15 minutes - 45 minutes,moins de 15 minutes,WhatsApp,"Smartphone, Ordinateur",82.5,30.0,7.5
2025-03-27 17:48:06,18 - 25 ans,Femme,4 heures - 8 heures,4 heures - 8 heures,moins de 15 minutes,WhatsApp,Smartphone,360.0,360.0,7.5
2025-03-27 18:32:13,Moins de 18 ans,Femme,plus de 8 heures,4 heures - 8 heures,15 minutes - 45 minutes,YouTube,Smartphone,600.0,360.0,30.0
2025-03-27 18:34:47,18 - 25 ans,Femme,plus de 8 heures,15 minutes - 45 minutes,moins de 15 minutes,TikTok,"Smartphone, Ordinateur",600.0,30.0,7.5
